ocup;'RO';'AC';'AM';'RR';'PA';'AP';'TO';'MA';'PI';'CE';'RN';'PB';'PE';'AL';'SE';'BA';'MG';'ES';'RJ';'SP';'PR';'SC';'RS';'MS';'MT';'GO';'DF'
1;0.0492;0.0469;0.0533;0.0426;0.0416;0.034;0.0465;0.0408;0.0464;0.0428;0.0487;0.0437;0.04;0.0307;0.0322;0.0471;0.0578;0.0501;0.0624;0.0677;0.0708;0.088;0.0641;0.0774;0.0722;0.0586;0.0756
2;0.0261;0.025;0.0429;0.0343;0.0227;0.0311;0.0365;0.0327;0.0309;0.0277;0.0325;0.0444;0.0388;0.0256;0.0366;0.0322;0.0477;0.0442;0.0812;0.0708;0.0545;0.0538;0.0533;0.0422;0.0564;0.0396;0.1182
3;0.0559;0.0539;0.0824;0.0728;0.055;0.0679;0.0606;0.049;0.058;0.0506;0.0665;0.0587;0.0562;0.0478;0.0564;0.0626;0.0619;0.059;0.0747;0.0794;0.0694;0.0778;0.0721;0.0634;0.0626;0.0584;0.1093
4;0.3626;0.4172;0.3952;0.4285;0.3918;0.4172;0.3859;0.3979;0.405;0.4346;0.4246;0.4454;0.4466;0.4147;0.4188;0.4201;0.3903;0.4204;0.4666;0.4239;0.3789;0.3294;0.3921;0.4007;0.3509;0.4193;0.4612
5;0.18;0.1487;0.0974;0.1017;0.1536;0.0778;0.1759;0.1535;0.1337;0.0841;0.0804;0.0826;0.0866;0.1604;0.1537;0.1407;0.1119;0.1023;0.0122;0.0305;0.0804;0.0746;0.0893;0.1041;0.1434;0.0819;0.0106
6;0.279;0.2106;0.2662;0.2376;0.2762;0.2589;0.2241;0.2401;0.2558;0.2875;0.2908;0.2643;0.2728;0.2509;0.2454;0.2382;0.2779;0.2714;0.2505;0.278;0.2863;0.3198;0.2789;0.2549;0.25;0.2919;0.1588
7;0.0472;0.0978;0.0625;0.0824;0.059;0.1131;0.0706;0.086;0.0703;0.0727;0.0565;0.0608;0.059;0.07;0.057;0.0591;0.0526;0.0526;0.0525;0.0496;0.0596;0.0567;0.0502;0.0573;0.0645;0.0502;0.0664
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
